Palavra,Sinônimos
ABA,"falda, base, orla, sopé, vertente , encosta , flanco , ilharga , lado, ladeira , declive , aclive , rampa"
ABAS,"adjacências , contiguidades , cercanias, contornos , circunvizinhanças , imediações , proximidades , confins , bairros , distritos , comarcas , subúrbios , arrabaldes , arredores , redondeza"
ABAFAR,"atabafar , encobrir , ocultar , esconder , receptar , acoitar , sonegar , reter, subtrair , acobertar"
ABAFEIRA,"charco , pântano , lamaçal , brejo , atascadeiro , atoleiro , paul, banhado, tremedal , pantanal , lodaçal , lodeiro , enxurdeiro , lagoeiro , lameiro , lameirão , lameiral , lenteiro , chafurda , chafurdei-ro"
ABAIXAR,"abater , rebaixar , aviltar , degradar , humilhar , envergonhar , deprimir , desonrar , depreciar , envilecer , desdoirar , deslustrar , macular , manchar , desacreditar , desabonar , infamar , difamar"
ABALAR,"demover , dissuadir"
ABALIZADO,"assinalado , distinto , notável , ilustre , nobre , digno , famoso , afamado , famigerado , célebre , insigne , preclaro , conspícuo , eminente , egrégio , exímio , consumado , ínclito , grande"
ABALO,"tremor de terra , terremoto , trepidação , comoção , convulsão , estremecimento , agitação"
ABALROAR,"investir , atracar , aferrar , abordar , acometer , agredir , assaltar , arremeter , atacar"
ABANDONAR,"desprezar , desproteger , desamparar , desdenhar , dessocorrer , desvaler, desarrimar , desapoiar , desajudar , desfavorecer"
ABANDONO,"desafetação , naturalidade , negligência , simpleza , descuido , ingenuidade, singeleza , lhaneza , desalinho , indolência , desídia , incúria , inércia , inação , desleixo , desmazelo , languidez , desapercebimento , abstração , distração , acídia , preguiça , ócio, segnícia , moleza"
ABARATAR,"baratear , embaratecer , malbaratar , depreciar , menoscabar , menosprezar, desapreciar , desestimar, desencarecer"
ABANTESMA,"fantasma , espetro , larva, visão , duende , trasgo , manes , lêmures , avejão , aparição , sombra"
ABARCAR,"abranger , compreender"
ABARROADO,"obstinado , opiniático , cabeçudo , teimoso , tenaz , pertinaz , insistente, contumaz , caprichoso , encaprichado , afincado , constante , relutante , porfiado , persistente , perseverante , aferrado , firme, emperrado , birrento , embirrante"
ABASTADO,"rico, ricaço , opulento , endinheirado , apatacado , remediado , argentário, banqueiro , capitalista , milionário"
ABASTARDAR,"degenerar , desfigurar , deformar , desfear , afear, deturpar , desnaturar , corromper , deteriorar , estragar , perverter , viciar , adulterar , desvirtuar , depravar"
ABASTAR,"abastecer , fornir , fornecer , munir, municiar , municionar , ministrar , subministrar , prover , aprovisionar"
ABATER,"descontar , minuir , deminuir , deduzir , subtrair"
ABDICAR,"renunciar , demitir-se , exonerar-se , desobrigar-se , rejeitar , recusar , resignar , desistir , largar , abandonar , ceder"
ABENÇOAR,"bendizer , benzer , louvar , bendito , abençoado , bento , benção , benzimento"
ABERTURA,"greta , racha , resquício , fresta , fenda , fisga, rotura , buraco , orifício , aberta, furo, rombo , frincha , interstício , vão"
ABELHUDO,"entremetido , metediço , intrometido , introduzido , oferecido , intruso , ingerido , intrujão , taralhão"
ABERTO,"amplo , largo , espaçoso , vasto , extenso , desenvolvido , dilatado , explanado, lato, estirado"
ABESTALHADO,"aparvalhado , abobado , abobalhado , apalermado , apatetado , atoleimado , apapalvado , alorpado , acamelado , apataratado , apalhaçado , abasbacado , ajogralado , aburrado , apalonçado , abasbanado, amatutado , acaipirado , aparvoado , embotado , enfatuado , aboçalado , amatungado, pasmado , besta , burro , burrego , aburregado , parvo , bobo , palerma , pateta , tolo, estólido , papalvo , lorpa , camelo , palúrdio , patarata , lerdo , lerdaço , palhaço , basbaque , palonço , jogral , pascácio , pacóvio , papa-moscas , boca-aberta , tabaréu , caipira , basbana, matuto , bolônio , mentecapto , sandeu, doidivanas , beócio , estupidarrão , toleirão , parvoeirão , parvajola , truão , bufão , chocarreiro , maninelo , parvoinho , simples, simplório , bestiaga , bobório , camelório, boto , pato , patau , patocho , patego , pataroco , fátuo , estulto , tapado , obtuso , bronco , rombo , rude, boçal , estúpido , néscio, idiota , imbecil , alvar , ingênuo , ignaro , ignorante , ignorantão , quadrúpede , asno , asneirão , asinino , maturrão , jumento , charro"
ABICAR,"varar , fundear , ancorar , aportar, arribar , surgir , abordar , chegar , atracar"
ABJETO,"detestável , desprezível , ignóbil , indigno , baixo , vil, repelente , abominável , abominando , abominoso , repugnante , execrando , execrável , aborrecível , odioso"
ABJURAR,"renegar , trair, renunciar , apostatar, desprofessar , abrenunciar , converter-se"
ABLAÇÃO,amputação
ABNEGAÇÃO,"desinteresse , desapego , desambição , desamor , desprendimento , altruísmo"
ABLUIR,"purificar , lavar, apurar , limpar , mundificar , expurgar , purgar , acrisolar , acendrar , desmacular"
ABOLIR,"extinguir , ab-rogar , derrogar , antiquar , suprimir , cassar , anular , revogar , invalidar , proscrever , infirmar"
ABONO,"abonação , caução , penhor , hipoteca , fiança , garantia , sinal, arras , segurança"
ABORÍGENE,"autóctone , indígena , originário , natural , nativo , íncola"
ABORTAR,"malograr-se , frustrar-se , gorar , falhar , fracassar"
ABRA,"angra , golfo , enseada , recôncavo , lagamar , calheta , baía, esteiro , abrigada"
ABRANDAR,"moderar , suavizar , enternecer, adoçar , serenar , abonançar , apaziguar , acalmar , mitigar , amenizar , atenuar , temperar , adormentar , adormecer"
ABREVIAR,"encurtar , reduzir , restringir , diminuir"
ABRIGO,"refúgio , asilo, amparo , esconderijo, coito , guarida , homizio , valhacoito , resguardo , acolhida , acolhimento"
ABRIR,"desunir , separar , desligar , soltar , desprender , desatar , desmembrar , afastar, apartar , distanciar , divorciar"
ABROLHOS,"cachopos , escolhos , farelhões , recifes , baixos , baixios , alfaques , parcéis , restingas , sirtes , banco"
ABRUPTO,"alcantilado , íngreme , empinado, escarpado , aprumado , ladeirento"
ABSCONSO,"abscôndito , escondido , oculto, recôndito , retruso , secreto , clandestino , encoberto"
ABSOLUTISMO,"despotismo , autocracia , tirania , ditadura , caudilhismo , militarismo"
ABSOLUTO,"decisivo , definitivo , categórico, imperioso , imperativo , arrogante , irredutível , incondicional , inapelável , terminante , peremptório , cabal"
ABSORTO,"pensativo , enlevado , extasiado, admirado , assombrado , maravilhado , abismado , distraído , abstraído , abstração , distração , embebido , arroubado, arrebatado , contemplativo , meditativo , meditabundo , impressionado , apreensivo , preocupado , estático , extático , estatelado"
ABSTERSO,"terso , polido , brilhante , alvo, cândido , branco , limpo , límpido , lustroso, fúlgido , fulgente , refulgente , brunido , luzido , luzidio , luzente , reluzente , lúcido, nítido , nitente"
ABSTINENTE,"abstêmio , frugal , sóbrio , abstido , continente , temperante , temperado, moderado , parco , comedido"
ABSTRATO,abstruso
ABUNDÂNCIA,"fartura , riqueza , opulência"
ABUSÃO,"patranha , peta , crendice , superstição , prejuízo , preconceito , prevenção, preocupação , fanatismo"
ACABAR,"perecer , falecer , morrer , fenecer , finar-se , extinguir-se , expirar"
ACABADO,"perfeito , completo , magistral , cabal , pleno"
ACABRUNHAR,"amofinar , afligir , oprimir, humilhar , entristecer , contristar , vexar, magoar , desgostar , molestar , aborrecer, apoquentar , importunar , mortificar , angustiar , atormentar , agoniar , amargurar, consternar , inquietar , incomodar"
ACADEMIA,"escola , instituto , universidade, colégio , ginásio , liceu"
ACALENTAR,"amimar , consolar , agradar , afagar , ameigar , acariciar , acarinhar , acaridar"
ACAMPAMENTO,"arraial , bivaque"
ACANHADO,"tímido , vergonhoso , modesto , apoucado , pudico , pudibundo, acanhamento , timidez , vergonha , modéstia , apoucamento , pudor , pudicícia , pudor e pundonor , pundonoroso"
AÇÃO,"demanda , litígio , processo , pleito , questão , querela"
ACASO,"por acaso , porventura"
ACATAR,"acatamento , respeito , respeitar , veneração , venerar , reverência , reverenciar , deferência , deferir"
ACAUTELADO,"cauto , cauteloso , prevenido , precavido , precatado , avisado , prudente , previdente , cautela , prevenção , sobreaviso , precaução , aviso , prudência , previdência , acautelar , prevenir , precaver , precatar , avisar , prever"
ACEPÇÃO,"significação , sentido"
ACEDER,"aquiescer , consentir , aderir , condescender , concordar , anuir , conformar-se, assentir"
ACEITAR,"receber , tomar"
ACELERAR,"apressar , apressurar , ativar , aligeirar , precipitar"
ACENTO,pronúncia
ACERBO,"azedo , ácido , acre , acérrimo , agro, acrimonioso , travoso , travento , áspero, amargo , amargoso"
ACERTAR,"atinar , adivinhar"
ACESSÓRIO,"secundário , contingente , subse civo, sobressalente"
ACHADO,"invento , invenção , descoberta , descobrimento"
ACHAR,"encontrar , deparar , descobrir , inventar"
ACHAQUE,"moléstia , enfermidade , doença, incômodo , indisposição , mal"
ACIDENTAL,"fortuito , imprevisto , inesperado , inopinado , eventual , contingente, casual , ocasional , aleatório , incerto"
ACIDENTE,"desastre , desgraça , catástrofe , revés , calamidade"
ACLAMAR,"vitoriar , aplaudir , proclamar , glorificar"
ACLARAR,"esclarecer , elucidar , ilustrar , alumiar , iluminar , explicar , explanar"
ACOBARDAR,"intimidar , amedrontar , atemorizar , assustar , aterrar , aterrorizar , espavorir , apavorar , quebrantar"
AÇÕES,"fatos , feitos , façanhas , proezas"
ACOITAR,"acoitar-se , asilar , asilar-se , esconder , esconder-se , ocultar , ocultar-se , refugiar-se , abrigar , abrigar-se , homiziar , homiziar-se"
AÇOITAR,"vergastar , chicotar , azorragar , zurzir , surrar , chibatar , flagelar , fustigar"
ACOMODAR,"adequar , adaptar , ajustar , apropriar"
